Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,3186,127072,15104,3930,46079,2681,3938,7898,12829,20689,68075,3317,183127,3831,6658
apple,213290,123568,151017,101167,67160,73286,30717,114744,69899,51329,180495,46228,66572,93494,378597
OpenAPITools,240511,375665,128829,175190,255934,170789,143287,201357,149517,129332,202216,104284,176318,127658,185143
nextcloud,29431,30485,1641,498,32314,1465,25782,2279,8249,8265,56828,1817,4250,28571,3422
firstcontributions,44520,55240,125683,43265,264902,108572,63773,54599,94901,157534,65107,14463,25006,21170,65024
JuliaRegistries,3048,3015,2892,2178,2407,3194,2558,37267,2466,2795,2742,1997,2379,3648,3803
PaddlePaddle,42764,221038,53034,41063,258503,207818,17212,80544,5788,19898,1175,433,3243,1863,29270
ClickHouse,44081,43089,93758,676979,391255,477112,294497,141491,82516,237179,39049,231136,79166,164493,169726
jlord,13375,110672,35394,27355,78748,100583,11,19157,89821,5930,8,7859,114184,190509,123991
prusa3d,6934,1397,34498,24487,103,22511,57344,44653,92403,94,47,52,28,20546,32964
AdguardTeam,1878,1729,1310,2555,4863,1024,83510,1097,3477,328,728,917,10406,3663,53808
pingcap,170667,222067,243393,134289,223982,123707,173622,191828,145677,165315,241104,425245,384102,267436,225220
nodejs,479689,544183,112866,380417,342238,411713,362384,113307,190393,449462,848555,297871,458705,523736,340369
cms-sw,147677,127142,228629,302399,313438,264913,448175,472882,442400,430284,301714,172109,111195,110866,167899
microsoftgraph,136774,142042,114550,42661,97066,387615,513721,137884,97599,55310,123861,53089,369297,350559,931207
MarlinFirmware,956152,487878,542891,497144,368261,689613,218747,205264,5345,181480,166311,30289,37288,198686,184681
conan-io,28197,18385,16573,68390,12634,10376,11317,89133,39231,45853,46973,37682,69147,56268,38829
pandas-dev,80187,21747,21316,17139,10274,37126,8647,19899,17221,39344,45003,41704,25625,102118,39398
woocommerce,4763,6093,80916,64308,74562,47899,21298,80325,100817,106982,82235,86544,64032,59969,48157
logseq,9868,9834,74932,31926,9501,4994,67776,11174,15521,5792,13403,11985,25273,8754,6131
Ultimaker,86234,37597,114712,202511,112415,3738,4252,2815,16208,155165,63636,9049,46720,17443,13703
influxdata,40887,53001,211931,20420,12493,24943,8954,58962,7061,17390,10876,3268,8649,46425,37482
docker,1688,1791,24218,3104,13075,27215,98519,43650,36743,57959,45171,16319,186010,80787,56559
magento,2565,31115,165,800,1067,998,227449,21573,648,3259,12881,12881,203,7075,27333
vercel,216825,165738,111321,111919,166801,42619,160415,125139,98516,428714,45020,42582,60213,108116,254421
department-of-veterans-affairs,911,501,800,1154,1474,183,3799,4949,186,253,789,188,652,273,579
zephyrproject-rtos,102517,45503,276401,60119,173942,92354,202323,87457,84073,114119,120296,45487,62493,60249,65563
Automattic,72187,39817,56092,45959,75184,33080,30082,47663,113780,83973,44359,75921,64632,46641,58014
qmk,80560,158922,50127,102608,180410,67415,172251,352282,56865,272918,170358,63605,213805,292315,302947
mrdoob,28071,63049,15324,13259,21214,11331,6382,22095,19597,30108,58656,62981,109692,261049,35375
termux,64277,7834,5914,84964,7571,3476,5104,68903,11385,46072,28581,9874,20887,37724,13570
rapid7,4262,3286,3206,5968,23660,19140,7714,14603,30901,7771,13569,79253,35326,32377,2357
Regalis11,39,4206,463,43,44,18,54,11,13,79,47,1,13,365,21
Koenkk,21586,11393,1943,254989,20688,5050,6053,19921,4674,6285,9379,4861,5749,4993,2692
ccxt,16108,10611,8658,24548,13813,50963,46869,19443,147416,123736,40712,86398,30619,5722,145702
JuliaLang,56558,18904,44380,11037,13197,21353,33544,10523,27635,96603,18788,32096,25415,31223,30406
jitsi,84764,47973,64472,15080,56861,6108,13443,16525,51974,142995,40381,50587,6794,11441,25250
WordPress,43150,42643,30832,158036,100935,56167,45706,136918,163079,37119,47072,47866,51981,48518,122659
istio,17649,18730,128723,102958,327396,19848,68625,37894,35170,148933,34586,19594,23482,113266,36587
qbittorrent,88017,3630,9806,2056,73092,3271,22178,8606,4447,1142,2668,11280,2920,3644,1525
yt-dlp,3110,8422,4028,9940,6374,6630,3983,15183,5805,5617,4992,1613,1627,3366,8548
DefinitelyTyped,108098,41869,37046,144770,60335,82884,113941,145303,92607,219756,103151,48706,113649,164088,301090
mastodon,9956,34155,43270,23502,28447,6793,17582,130202,47335,158998,88360,27159,35932,50488,24844
python,290990,257131,101538,85003,228215,172222,81973,189743,162363,99624,244325,65878,56126,228710,153213
grpc,249365,105109,152723,142490,63908,78705,89965,63482,101024,146949,70588,92008,59987,69412,259943
elastic,1210654,347574,635172,588545,294254,581683,602295,519714,501384,656639,593869,573615,437829,401079,426123
sveltejs,12796,19065,9788,5696,18572,2177,9643,24732,9111,7850,7864,36218,13955,30027,5286
idsb3t1,2310,2604,2842,13644,35964,33534,26244,61722,39690,49248,37745,11390,26880,29736,30408
hashicorp,69526,70609,70098,37573,134091,33649,55983,63251,19002,31931,47715,43085,178004,73425,70929
redis,71849,103825,3043,10961,5797,3324,3316,4484,2440,17355,7782,2501,5264,2707,28834
